algorithm,k,mut_rate,metric,value
Closed syncmer (Edgar 2021),21,0.01,Conservation,0.908283
Closed syncmer (Edgar 2021),21,0.01,L2,1.3415263694762023
Closed syncmer (Edgar 2021),21,0.05,Conservation,0.519756
Closed syncmer (Edgar 2021),21,0.05,L2,5.669087845500368
Closed syncmer (Edgar 2021),21,0.1,Conservation,0.210033
Closed syncmer (Edgar 2021),21,0.1,L2,12.831282554756559
Closed syncmer (Edgar 2021),21,0.15,Conservation,0.076761
Closed syncmer (Edgar 2021),21,0.15,L2,24.064732909384222
Closed syncmer (Edgar 2021),31,0.01,Conservation,0.892914
Closed syncmer (Edgar 2021),31,0.01,L2,1.8044531027433215
Closed syncmer (Edgar 2021),31,0.05,Conservation,0.396637
Closed syncmer (Edgar 2021),31,0.05,L2,9.455249494328534
Closed syncmer (Edgar 2021),31,0.1,Conservation,0.102478
Closed syncmer (Edgar 2021),31,0.1,L2,24.094559448140984
Closed syncmer (Edgar 2021),31,0.15,Conservation,0.024697
Closed syncmer (Edgar 2021),31,0.15,L2,57.45055829145614
Closed syncmer (Edgar 2021),41,0.01,Conservation,0.87244
Closed syncmer (Edgar 2021),41,0.01,L2,2.4183554329337116
Closed syncmer (Edgar 2021),41,0.05,Conservation,0.287736
Closed syncmer (Edgar 2021),41,0.05,L2,14.42890772026767
Closed syncmer (Edgar 2021),41,0.1,Conservation,0.045852
Closed syncmer (Edgar 2021),41,0.1,L2,41.93274473487277
Closed syncmer (Edgar 2021),41,0.15,Conservation,0.010021
Closed syncmer (Edgar 2021),41,0.15,L2,129.93946717606624
Closed syncmer (Edgar 2021),51,0.01,Conservation,0.846483
Closed syncmer (Edgar 2021),51,0.01,L2,3.1753856458704353
Closed syncmer (Edgar 2021),51,0.05,Conservation,0.202273
Closed syncmer (Edgar 2021),51,0.05,L2,21.049899120898417
Closed syncmer (Edgar 2021),51,0.1,Conservation,0.019277
Closed syncmer (Edgar 2021),51,0.1,L2,73.99752628297787
Closed syncmer (Edgar 2021),51,0.15,Conservation,0.006715
Closed syncmer (Edgar 2021),51,0.15,L2,257.5850353145539
Closed syncmer (Edgar 2021),61,0.01,Conservation,0.818298
Closed syncmer (Edgar 2021),61,0.01,L2,4.034256437064951
Closed syncmer (Edgar 2021),61,0.05,Conservation,0.139872
Closed syncmer (Edgar 2021),61,0.05,L2,29.57305508397805
Closed syncmer (Edgar 2021),61,0.1,Conservation,0.008454
Closed syncmer (Edgar 2021),61,0.1,L2,120.41904387180625
Closed syncmer (Edgar 2021),61,0.15,Conservation,0.005721
Closed syncmer (Edgar 2021),61,0.15,L2,536.0660579303636
Optimal closed syncmer (ours),21,0.01,Conservation,0.908283
Optimal closed syncmer (ours),21,0.01,L2,1.3415263694762023
Optimal closed syncmer (ours),21,0.05,Conservation,0.519756
Optimal closed syncmer (ours),21,0.05,L2,5.669087845500368
Optimal closed syncmer (ours),21,0.1,Conservation,0.210033
Optimal closed syncmer (ours),21,0.1,L2,12.831282554756559
Optimal closed syncmer (ours),21,0.15,Conservation,0.076761
Optimal closed syncmer (ours),21,0.15,L2,24.064732909384222
Optimal closed syncmer (ours),31,0.01,Conservation,0.885192
Optimal closed syncmer (ours),31,0.01,L2,1.9042006196827057
Optimal closed syncmer (ours),31,0.05,Conservation,0.382281
Optimal closed syncmer (ours),31,0.05,L2,9.726931273531235
Optimal closed syncmer (ours),31,0.1,Conservation,0.097227
Optimal closed syncmer (ours),31,0.1,L2,24.681428220425172
Optimal closed syncmer (ours),31,0.15,Conservation,0.02375
Optimal closed syncmer (ours),31,0.15,L2,59.567600765852575
Optimal closed syncmer (ours),41,0.01,Conservation,0.861434
Optimal closed syncmer (ours),41,0.01,L2,2.5231185069274886
Optimal closed syncmer (ours),41,0.05,Conservation,0.27308
Optimal closed syncmer (ours),41,0.05,L2,14.955516340133496
Optimal closed syncmer (ours),41,0.1,Conservation,0.043054
Optimal closed syncmer (ours),41,0.1,L2,43.55580021076412
Optimal closed syncmer (ours),41,0.15,Conservation,0.009934
Optimal closed syncmer (ours),41,0.15,L2,128.92005015900358
Optimal closed syncmer (ours),51,0.01,Conservation,0.835054
Optimal closed syncmer (ours),51,0.01,L2,3.333451514571646
Optimal closed syncmer (ours),51,0.05,Conservation,0.190786
Optimal closed syncmer (ours),51,0.05,L2,21.800689025808335
Optimal closed syncmer (ours),51,0.1,Conservation,0.017187
Optimal closed syncmer (ours),51,0.1,L2,79.79356398231627
Optimal closed syncmer (ours),51,0.15,Conservation,0.00648
Optimal closed syncmer (ours),51,0.15,L2,308.60486436380097
Optimal closed syncmer (ours),61,0.01,Conservation,0.805951
Optimal closed syncmer (ours),61,0.01,L2,4.202342679982202
Optimal closed syncmer (ours),61,0.05,Conservation,0.130873
Optimal closed syncmer (ours),61,0.05,L2,30.540469298948242
Optimal closed syncmer (ours),61,0.1,Conservation,0.007811
Optimal closed syncmer (ours),61,0.1,L2,122.06361877316272
Optimal closed syncmer (ours),61,0.15,Conservation,0.005958
Optimal closed syncmer (ours),61,0.15,L2,518.5929169618497
